Factor Date_Bucket,Vintage_Bucket,State Code_Bucket,Orig Bal,Number Of Loans,PoolCount,Active LoanCount,CPR,Curtailment(CPR),Loan Age,,Vintage,DTI,Current Balance,FICO,LTV
20170501,2017,MN,1264322725.98,"5,916",,"5,912",1.3,0.72,3,,2017,34.31,"1,257,858,304.63",750.37,80.31
20170501,2010,MO,1122399488.16,"8,055",,"7,966",14.16,0.87,81,,2010,30.25,"945,886,361.75",751.57,75.91
20170501,2011,MO,1056471427.31,"7,313",,"7,239",13.38,1.17,70,,2011,30.49,"909,810,604.00",754.4,77.01
20170501,2012,MO,2588985116.07,"15,488",,"15,359",10.37,0.82,58,,2012,30.1,"2,275,202,466.14",760.57,77.6
20170501,2013,MO,2818353019.08,"17,423",,"17,250",11.97,0.93,48,,2013,31,"2,531,137,309.48",752.81,78.96
20170501,2014,MO,1691986195.04,"11,291",,"11,161",13.15,0.66,34,,2014,32.25,"1,573,092,538.11",746.97,81.95
20170501,2015,MO,2832833250.62,"16,794",,"16,659",10,0.68,22,,2015,32.39,"2,689,582,481.65",751.08,81.45
20170501,2016,MO,3986813756.45,"21,689",,"21,595",5.36,0.4,10,,2016,32.93,"3,894,345,847.49",750.58,81.33
20170501,2017,MO,867182311.36,"4,828",,"4,821",2.94,1.03,3,,2017,33.55,"860,864,670.59",748.51,80.63
20170501,2010,MS,198633892.88,"1,328",,"1,315",9.73,0.65,82,,2010,30.62,"168,860,446.13",742.38,77.21
20170501,2011,MS,148552229.45,946,,932,16.39,1.08,70,,2011,29.82,"126,840,217.30",744.75,76.6
20170501,2012,MS,257558734.84,"1,560",,"1,546",11.48,0.74,57,,2012,29.99,"225,854,462.42",743.84,79.03
20170501,2013,MS,369751926.79,"2,273",,"2,249",13.89,0.98,47,,2013,30.89,"333,373,044.27",738.84,78.81
20170501,2014,MS,345195223.21,"2,036",,"2,024",7.7,0.47,34,,2014,31.81,"323,158,493.35",739.82,81.51
20170501,2015,MS,499610071.39,"2,714",,"2,695",9.01,0.4,22,,2015,32.04,"475,198,844.92",743.29,81.49
20170501,2016,MS,566144227.62,"3,090",,"3,077",4.81,0.64,10,,2016,32.93,"554,066,038.73",737.86,81.54
20170501,2017,MS,160761141.86,845,,843,2.96,0.87,3,,2017,33.93,"159,797,366.21",740.82,81
20170501,2010,MT,248431855.19,"1,447",,"1,436",8.11,1.18,82,,2010,31.63,"209,069,384.56",753.43,71.87
20170501,2011,MT,249424629.98,"1,436",,"1,420",12.56,0.87,70,,2011,31.7,"214,331,671.92",758.7,73.07
20170501,2012,MT,478479073.36,"2,500",,"2,474",11.18,0.76,58,,2012,31.67,"420,498,318.12",759.03,74.8
20170501,2013,MT,605598184.88,"3,111",,"3,085",10.26,1.29,47,,2013,32.42,"544,785,550.45",755.98,74.63
20170501,2014,MT,478455376.78,"2,484",,"2,454",14.16,0.66,34,,2014,33.21,"442,051,828.33",753.03,78.17
20170501,2015,MT,840318744.04,"4,001",,"3,975",7.13,0.55,22,,2015,33.84,"799,026,479.48",752.91,77.22
20170501,2016,MT,1070221973.78,"4,846",,"4,834",3.37,0.45,10,,2016,34.57,"1,047,340,204.01",752.09,77.03
20170501,2017,MT,297539057.95,"1,321",,"1,319",2.01,0.33,3,,2017,34.99,"295,874,947.79",748.66,75.46
20170501,2010,ND,76595518.80,549,,543,9.18,1.17,81,,2010,29.99,"63,223,023.47",762.06,74.65
20170501,2011,ND,75695573.75,490,,485,11.2,2.14,70,,2011,31.27,"64,312,635.75",759.84,75.71
20170501,2012,ND,212946017.19,"1,221",,"1,210",10.19,0.74,57,,2012,32.12,"185,811,284.50",759.85,78.26
20170501,2013,ND,323646625.98,"1,764",,"1,749",10.29,0.64,47,,2013,32.86,"290,761,271.17",753.58,78.62
20170501,2014,ND,360721630.41,"1,838",,"1,820",11.88,1.02,33,,2014,33.7,"334,581,934.95",749.21,82.55
20170501,2015,ND,504149362.55,"2,374",,"2,366",3.79,0.52,22,,2015,33.9,"481,241,948.65",751.01,81.21
20170501,2016,ND,563967189.73,"2,609",,"2,601",3.35,0.49,10,,2016,34.02,"552,000,797.98",748.08,81.42
20170501,2017,ND,129462821.26,601,,600,4.39,2.46,3,,2017,35.09,"128,417,648.21",746.4,80.67
20170501,2010,NE,217057925.09,"1,614",,"1,597",15.32,1.2,81,,2010,28.78,"181,081,250.28",756.06,76.53
20170501,2011,NE,198701059.59,"1,442",,"1,426",14.45,1.96,70,,2011,30.2,"169,526,965.33",757.24,77.59
20170501,2012,NE,486692420.91,"3,066",,"3,045",9.62,1.48,58,,2012,30.43,"426,277,741.01",761.84,78.08
20170501,2013,NE,503368056.84,"3,264",,"3,243",8.92,0.74,47,,2013,31.33,"453,062,837.75",754.2,79.18
20170501,2014,NE,414088060.00,"2,704",,"2,676",11.99,0.76,34,,2014,32.74,"384,895,170.66",750.1,82.6
20170501,2015,NE,711141970.92,"4,160",,"4,131",6.79,0.59,22,,2015,32.91,"676,802,201.39",751.74,81.65
20170501,2016,NE,839298289.42,"4,742",,"4,722",5.34,0.59,10,,2016,33.37,"819,112,325.78",750.94,81.36
20170501,2017,NE,205900939.87,"1,146",,"1,146",1.31,1.31,3,,2017,33.52,"204,607,129.40",751.1,81
